map,goals,agents,alg,success_rate,soc_all_median,time_feas_median,conflicts_median,convergence_curve
warehouse,3.0,50,CHHM,0.0,2503989.8000000003,,154.0,"[2552728.9, 2552728.9, 2552728.9, 2552728.9, 2552728.9, 2552728.9, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003, 2503989.8000000003]"
warehouse,3.0,50,RGCM,0.0,2422793.3000000003,,149.0,"[2552728.9, 2552728.9, 2552728.9, 2552728.9, 2552728.9, 2552728.9, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003, 2422793.3000000003]"
warehouse,6.0,5,Base,1.0,426.0,1.1389956830098529,0.0,"[3550.7999999999997, 464.0, 449.0, 449.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0, 426.0]"
warehouse,6.0,5,CHHM,1.0,404.0,1.1256428260094251,0.0,"[3550.7999999999997, 464.0, 422.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0, 404.0]"
warehouse,6.0,5,RGCM,1.0,402.0,0.9198629550082842,0.0,"[3550.7999999999997, 464.0, 464.0, 420.0, 416.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0, 402.0]"
warehouse,6.0,10,Base,0.8,992.0,5.82970146000298,1.0,"[19300.399999999998, 18658.8, 3349.7, 3022.6, 1021.0, 1021.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0, 992.0]"
warehouse,6.0,10,CHHM,1.0,850.0,6.899821504004649,0.0,"[19300.399999999998, 19300.399999999998, 3415.1, 3156.7999999999997, 947.0, 889.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0, 850.0]"
warehouse,6.0,10,RGCM,0.8,889.0,5.771023672496085,1.0,"[19300.399999999998, 18658.8, 3349.7, 2912.6, 928.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0, 889.0]"
warehouse,6.0,25,Base,0.0,412003.0,,45.0,"[575593.8, 575593.8, 575593.8, 570761.4, 570761.4, 570761.4, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0, 412003.0]"
warehouse,6.0,25,CHHM,0.0,348351.8,,41.0,"[575593.8, 575593.8, 575593.8, 570761.4, 570761.4, 570761.4, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8, 348351.8]"
